i, j, value
0, 0, 0.8691397081735506
0, 1, 0.9151402205235999
0, 2, 0.6827343349722851
0, 3, 0.45546965126940375
0, 4, 0.5727220956198379
0, 5, 0.31034354536409436
0, 6, 0.3110146677509149
0, 7, 0.5997974395347837
0, 8, 0.8955251962504929
0, 9, 0.4714140172642134
0, 10, 0.7909696554350327
0, 11, 0.38190366076017646
0, 12, 0.8975311068282574
0, 13, 0.19872999488209842
0, 14, 0.8818684556747759
0, 15, 0.9481288544022566
0, 16, 0.39972878669228973
0, 17, 0.09282828949787891
0, 18, 0.6773096607367309
0, 19, 0.2144965993480834
0, 20, 0.15107714639724878
0, 21, 0.7418885033690426
0, 22, 0.16956655074069082
0, 23, 0.1727350361722485
0, 24, 0.16827798724372367
0, 25, 0.777276196888914
0, 26, 0.24943562873672953
0, 27, 0.33850206466935795
0, 28, 0.9549604278803977
0, 29, 0.19482308224826983
0, 30, 0.8797202342458027
0, 31, 0.4726636162966249
0, 32, 0.07502985530150152
0, 33, 0.7001185455282466
0, 34, 0.6535980197628227
0, 35, 0.35512270656560607
0, 36, 0.8278716215273688
0, 37, 0.9559092803252975
0, 38, 0.7981938205462445
0, 39, 0.7839314406895779
0, 40, 0.10605713419219853
0, 41, 0.36891921449169884
0, 42, 0.08516377789813268
0, 43, 0.11521801774624263
0, 44, 0.8151659967822902
0, 45, 0.1830433236484783
0, 46, 0.5313365608490577
0, 47, 0.9971245028898916
0, 48, 0.32508534981645176
0, 49, 0.8726637015459822
0, 50, 0.8531364351326884
0, 51, 0.8492087655398236
0, 52, 0.6304280018765613
0, 53, 0.5891910817730891
0, 54, 0.16248392463003658
0, 55, 0.8276649087133168
0, 56, 0.10705991331991915
0, 57, 0.6627943500972869
0, 58, 0.8648040543239685
0, 59, 0.8301378873536243
0, 60, 0.9380583153561035
0, 61, 0.8812171331199422
0, 62, 0.07492804802526787
0, 63, 0.46670755196702374
0, 64, 0.7456034284617933
0, 65, 0.3612105134733484
0, 66, 0.49683766831777565
0, 67, 0.03324441066086947
0, 68, 0.9364413130539108
0, 69, 0.3935237635094303
0, 70, 0.9113365664590904
0, 71, 0.6623875418551599
0, 72, 0.9394122599031147
0, 73, 0.5409439424003408
0, 74, 0.06676371718560692
0, 75, 0.34374146186806154
0, 76, 0.812823485601391
0, 77, 0.5389705527134139
0, 78, 0.8630596272808152
0, 79, 0.7052346577369157
0, 80, 0.8154197693781231
0, 81, 0.16447302330498226
0, 82, 0.23260798499281277
0, 83, 0.39067873363115924
0, 84, 0.44650285506453025
0, 85, 0.4238785885353039
0, 86, 0.5719724270946508
0, 87, 0.8021903456784172
0, 88, 0.1124724477081005
0, 89, 0.6759827330675368
0, 90, 0.6334248852381774
0, 91, 0.4938184243673168
0, 92, 0.5911645646616845
0, 93, 0.6930727932733618
0, 94, 0.692491710987559
0, 95, 0.03588991716944534
0, 96, 0.8588546057721931
0, 97, 0.5406128751513308
0, 98, 0.8578422075977752
0, 99, 0.5716746328791538
1, 0, 0.227949377024931
1, 1, 0.693157709982699
1, 2, 0.4934384292227658
1, 3, 0.05583146782058768
1, 4, 0.6311198992038798
1, 5, 0.9810659235101179
1, 6, 0.14716345199447567
1, 7, 0.11088146516421926
1, 8, 0.5623867689245264
1, 9, 0.6941284425901529
1, 10, 0.33261864276158326
1, 11, 0.505711221884661
1, 12, 0.7031073980227498
1, 13, 0.6677712978185637
1, 14, 0.13036391472332942
1, 15, 0.8627102282020903
1, 16, 0.20184647060164962
1, 17, 0.9575772050460947
1, 18, 0.8116462177402055
1, 19, 0.013958762277093584
1, 20, 0.5782570747138518
1, 21, 0.2591202361779903
1, 22, 0.24435988143440934
1, 23, 0.7403105848112808
1, 24, 0.09986034975243663
1, 25, 0.6755696838983279
1, 26, 0.08512951091006782
1, 27, 0.0321918442783381
1, 28, 0.31350598395258333
1, 29, 0.49461328895865797
1, 30, 0.20963567442192066
1, 31, 0.37554152865928214
1, 32, 0.20815967224160026
1, 33, 0.26217347174145345
1, 34, 0.9823142697594315
1, 35, 0.673153167908461
1, 36, 0.06983505506564802
1, 37, 0.3112884065714948
1, 38, 0.13608533460649863
1, 39, 0.06435853046452256
1, 40, 0.9101650706125944
1, 41, 0.5253581909046324
1, 42, 0.8058901230536548
1, 43, 0.6708041772147402
1, 44, 0.5959399206387236
1, 45, 0.045790133767658836
1, 46, 0.7961399782743755
1, 47, 0.40821025015342005
1, 48, 0.5951287902485719
1, 49, 0.029374116671446848
1, 50, 0.036982115597263054
1, 51, 0.295918730571498
1, 52, 0.4389895093425461
1, 53, 0.1933779306719977
1, 54, 0.8154029559619023
1, 55, 0.9463924085178091
1, 56, 0.10828125461990057
1, 57, 0.26341468775758803
1, 58, 0.29192238139028936
1, 59, 0.593669811352927
1, 60, 0.8623133971828841
1, 61, 0.7972232187306165
1, 62, 0.30511082393648525
1, 63, 0.4182886641072794
1, 64, 0.04065872927811287
1, 65, 0.9970525226116456
1, 66, 0.5266924095212143
1, 67, 0.16932842436848883
1, 68, 0.10713310248159291
1, 69, 0.932906196609452
1, 70, 0.11120355756246125
1, 71, 0.5138487572719144
1, 72, 0.5261353057406872
1, 73, 0.1448096727760687
1, 74, 0.03744018389594761
1, 75, 0.8484289770118072
1, 76, 0.4140826512368636
1, 77, 0.26472320336897637
1, 78, 0.35599116234869066
1, 79, 0.4908302996027616
